"layer","total_millha","total_natural_millha","total_planted_millha","nm10_natural_millha","nm30_natural_millha","nm10_planted_millha","nm30_planted_millha"
"modis_forestgainsum",2087.7791059883,1475.6664272168,495.4084369215,220.0751734617,601.165494167,58.8435626645,145.3571041027
"Hansen_forestgain",80.639374687,51.2197307736,29.0828002662,7.6328293782,30.1566349904,4.8484460555,13.5797424602
"gain_esacci",2096.6961129406,1766.6828745563,278.5997427633,322.6319187117,915.0300546605,26.1534144674,77.6220193407
