zone,deg²,sum,count,min,max,mean
0.00000000,64509.09382802,1094820.00000000,"656110522",0.00000000,1.00000000,0.00166865
1.00000000,297.41056799,359054.00000000,"3024910",0.00000000,1.00000000,0.11869907
