zone,deg²,sum,count,min,max,mean
0.00000000,64509.09382802,3968759.00000000,"656110522",0.00000000,1.00000000,0.00604892
1.00000000,297.41056799,120223.00000000,"3024910",0.00000000,1.00000000,0.03974432
