zone,deg²,sum,count,min,max,mean
0.00000000,59530.29397011,2422814.00000000,"605472034",0.00000000,1.00000000,0.00400153
1.00000000,5276.21042589,1666168.00000000,"53663398",0.00000000,1.00000000,0.03104850
