zone,deg²,sum,count,min,max,mean
0.00000000,59530.29397011,1406781.00000000,"605472034",0.00000000,1.00000000,0.00232345
1.00000000,5276.21042589,998529.00000000,"53663398",0.00000000,1.00000000,0.01860726
